,,,,,Branch,Number,Length,Phase,Label,,Branch,Number,Length,Phase,Label,,Branch,Number,Length,Phase,Label,,Branch,Number,Length,Phase,Label
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,R1,105,"2,021,053",s1-6,42
,,,,,,,,,,,,,,,,,,,,,,,,104,"1,855,722",s9-12,43
,,,,,,,,,,,,,,,,,,,,,,,,103,"2,000,131",s7-8,44
,,,,,,,,,,,,,,,,,,,,,,,,102,"13,113,110",s1-6,45
,,,,,,,,,,,,,,,,,,,,,,,,101,"1,042,035",s9-12,46
,,,,,,,,,,,,,,,,,,,,,,,,100,"8,254,026",s7-8,47
,,,,,R5,33,"3,067,039",s7-8,1,,,,,,,,,,,,,,,99,"1,550,129",s9-12,48
,,,,,,32,"4,172,719",s1-6,2,,,,,,,,R3,93,"5,963,988",s9-12,87,,,98,"1,327,227",s7-8,49
,,,,,,31,"10,527,450",s9-12,3,,,,,,,,,94,"2,508,010",s7-8,88,,,97,"5,297,676",s1-6,50
,,,,,,30,"1,039,014",s7-8,4,,,,,,,,,92,"6,290,133",s1-6,89,,,96,"2,035,785",s7-8,51
,,,,,,29,"496,619",s9-12,5,,,,,,,,b1,91,"3,463,476",s9-12,90,,b1,95,"278,646",s9-12,52
,,,,,,28,"1,321,535",s7-8,6,,,,,,,,,,,,,,,,,,
,,,,,,27,"685,150",s9-12,7,,,,,,,,,,,,,,b1,90,"2,627,076",s9-12,53
,,,,,,26,"1,083,438",s7-8,8,,,,,,,,b2,83,"4,107,055",s7-8,91,,b2,89,"104,528",s7-8,54
,,,,,,25,"1,303,023",s9-12,9,,,,,,,,,84,"3,902,483",s9-12,92,,,,,,
,,,,,,24,"2,437,343",s7-8,10,,,,,,,,,85,"4,327,481",s7-8,93,,b2,82,"2,402,411",s7-8,55
,,,,,,23,"8,397,461",s1-6,11,,,,,,,,,86,"1,854,376",s9-12,94,,,81,"13,141,089",s1-6,56
,,,,,,22,"4,892,269",s9-12,12,,,,,,,,,87,"2,362,898",s1-6,95,,,80,"2,629,788",s9-12,57
,,,,,b5,21,"3,915,722",s7-8,13,,b5,34,"330,008",s7-8,29,,R4,88,"3,264,924",s7-8,96,,,79,"1,304,366",s7-8,58
,,,,,,,,,,,,35,"204,458",s9-12,30,,,,,,,,,78,"1,166,119",s9-12,59
,,,,,B5,19,"226,657",s7-8,14,,,36,"4,627,863",s7-8,31,,,,,,,,,77,"3,814,109",s7-8,60
,,,,,,20,"3,388,542",s9-12,15,,,37,"10,350,847",s1-6,32,,,,,,,,,76,"6,520,257",s1-6,61
,,,,,,18,"7,526,665",s1-6,16,,,38,"1,423,509",s9-12,33,,,,,,,,,75,"2,714,000",s9-12,62
