,,,Branch,,Length,Phase,,,,Branch,,Length,Phase,
,,,R1,0,"1,491,937",s9-12,1,,,,,,,
,,,,1,"4,036,262",s1-6,2,,,,,,,
,,,,2,"2,261,651",s9-12,3,,,,,,,
,,,,3,"1,682,121",s7-8,4,,,,,,,
,,,,4,"9,422,745",s1-6,5,,,,,,,
,,,,5,"2,060,816",s9-12,6,,,,,,,
,,,,6,"2,802,478",s1-6,7,,,,,,,
,,,,7,"8,694,852",s9-12,8,,,,,,,
,,,,8,"1,333,199",s7-8,9,,,,,,,
,,,,9,"6,770,595",s1-6,10,,,,,,,
,,,,10,"2,836,444",s7-8,11,,,,,,,
,,,,11,"6,720,701",s1-6,12,,,,,,,
,,,,12,"4,032,806",s7-8,13,,,,,,,
,,,,13,"6,107,149",s9-12,14,,,,,,,
,,,,14,"10,097,565",s1-6,15,,,,,,,
,,,,15,"4,215,320",s7-8,16,,,,,,,
,,,,16,"6,330,773",s9-12,17,,,,,,,
,,,,17,"1,530,722",s1-6,18,,,,,,,
,,,,18,"680,950",s9-12,19,,,,,,,
,,,,19,"6,059,865",s1-6,20,,,,,,,
,,,,20,"1,850,020",s7-8,21,,,,,,,
,,,,21,"4,211,436",s9-12,22,,,,,,,
,,,,22,"2,207,262",s1-6,23,,,,,,,
,,,,23,"1,245,936",s7-8,24,,,,,,,
,,,b1,24,"815,953",s9-12,25,,,,,,,
,,,,,,,,,,,,,,
,,,B1,34,"892,516",s9-12,26,,,b1,25,"2,538,725",s7-8,33
,,,,35,"9,693,812",s1-6,27,,,,26,"2,961,526",s9-12,34
,,,,33,"3,237,893",s7-8,28,,,,27,"2,542,152",s1-6,35
,,,,32,"4,550,553",s9-12,29,,,R2,28,"362,353",s7-8,36
,,,,31,"6,283,237",s1-6,30,,,,,,,
,,,,30,"2,658,441",s7-8,31,,,,,,,
,,,R3,29,"5,675,390",s9-12,32,,,,,,,
