,,,,,Branch,,Length,Phase,,,,Branch,,Length,Phase,,,Branch,,Length,Phase,,,Branch,,Length,Phase,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,R2,64,"1,793,463",s7-8,36,1,,,,,,,,R5,50,"570,044",s1-6,44,,R1,1,"2,693,391",s9-12,57
,,,,,,65,"3,456,634",s9-12,69,2,,R3,52,"362,697",s1-6,28,,b4,51,"1,142,366",s9-12,45,,,2,"871,784",s7-8,58
,,,,,,66,"2,106,138",s7-8,42,3,,b3,53,"1,645,858",s9-12,29,,,,,,,,,4,"4,338,509",s1-6,59
,,,,,,67,"9,510,706",s9-12,190,4,,,,,,,,b4,0,0,S9-12,0,,b6,3,"7,181,358",s9-12,60
,,,,,,68,"2,484,160",s7-8,50,5,,b3,54,"756,090",s9-12,30,,b3,0,"1,764,400",s9-12,46,,,,,,
,,,,,,69,"2,793,619",s1-6,56,6,,,55,"3,884,373",s7-8,31,,,,,,,,b6,10,"7,360,891",s9-12,61
,,,,,,70,"1,823,057",s7-8,36,7,,,56,"5,389,476",s1-6,32,,,,,,,,,11,"5,659,584",s7-8,62
,,,,,,71,"983,122",s9-12,20,8,,,57,"681,001",s7-8,33,,,,,,,,,12,"1,128,225",s9-12,63
,,,,,,72,"1,089,755",s7-8,22,9,,,58,"5,394,032",s9-12,34,,,,,,,,,13,"4,889,319",s7-8,64
,,,,,,73,"13,564,593",s1-6,271,10,,,59,"471,034",s7-8,35,,,,,,,,,14,"5,159,691",s1-6,65
,,,,,,75,"659,319",s7-8,13,11,,,60,"3,498,894",s1-6,36,,,,,,,,,15,"2,345,799",s9-12,66
,,,,,b1,74,"379,279",s9-12,8,12,,,61,"4,336,463",s9-12,37,,,,,,,,,16,"4,530,339",s7-8,67
,,,,,,,,,,,,,63,"1,997,708",s7-8,38,,R4,5,"6,191,258",s9-12,47,,,17,"7,846,048",s1-6,68
,,,,,b1,76,"4,590,161",s9-12,92,13,,b1,62,"4,403,474",s1-6,39,,,6,"4,588,096",s7-8,48,,,18,"350,656",s9-12,69
,,,,,,77,"15,151,879",s1-6,303,14,,,,,,,,,7,"2,406,458",s1-6,49,,,19,"250,022",s1-6,70
,,,,,,78,"6,431,241",s7-8,129,15,,,,,,,,,8,"2,287,333",s7-8,50,,,20,"4,000,180",s9-12,71
,,,,,,79,"3,393,278",s9-12,68,16,,,,,,,,b6,9,"369,858",s9-12,51,,,21,"3,969,475",s7-8,72
,,,,,,80,"6,654,502",s1-6,133,17,,,,,,,,,,,,,,,22,"5,890,741",s1-6,73
,,,,,,81,"1,187,188",s7-8,24,18,,,,,,,,,,,,,,,23,"909,635",s7-8,74
,,,,,,82,"1,295,477",s1-6,26,19,,,,,,,,,,,,,,,24,"6,383,047",s1-6,75
,,,,,,83,"6,595,094",s7-8,132,20,,,,,,,,,,,,,,,25,"3,324,368",s9-12,76
,,,,,,84,"3,564,207",s9-12,71,21,,,,,,,,,,,,,,,26,"486,901",s7-8,77
,,,,,,85,"3,139,266",s1-6,63,22,,,,,,,,,,,,,,,27,"1,969,492",s9-12,78
,,,,,b2,86,"1,891,834",s9-12,38,23,,,,,,,,,,,,,,,29,"3,846,237",s7-8,79
,,,,,,,,,,,,,,,,,,,,,,,,b5,28,"17,574,234",s1-6,80
,,,,,b2,93,"8,025,770",s9-12,161,24,,b2,87,"561,472",s9-12,40,,,,,,,,,,,,
,,,,,,94,"115,449",s7-8,2,25,,,88,"4,485,461",s7-8,41,,b5,45,"5,560,931",s1-6,52,,b5,43,"1,114,961",s1-6,81
,,,,,,92,"2,340,556",s1-6,47,26,,,89,"4,583,194",s9-12,42,,,46,"3,323,230",s7-8,53,,,44,"4,603,749",s7-8,82
,,,,,R8,91,"3,737,819",s7-8,75,27,,R6,90,"641,476",s1-6,43,,,47,"5,056,443",s9-12,54,,,42,"4,720,125",s9-12,83
,,,,,,,,,,,,,,,,,,,48,"2,274,486",s7-8,55,,,41,"7,563,060",s1-6,84
,,,,,,,,,,,,,,,,,,b4,49,"978,777",s9-12,56,,,40,"5,851,288",s7-8,85
,,,,,,,,,,,,,,,,,,,,,,,,,39,"3,205,852",s9-12,86
,,,,,,,,,,,,,,,,,,,,,,,,,38,"1,533,622",s1-6,87
,,,,,,,,,,,,,,,,,,,,,,,,,37,"414,293",s7-8,88
,,,,,,,,,,,,,,,,,,,,,,,,,36,"601,563",s9-12,89
,,,,,,,,,,,,,,,,,,,,,,,,,35,"1,574,944",s1-6,90
,,,,,,,,,,,,,,,,,,,,,,,,,34,"350,547",s9-12,91
,,,,,,,,,,,,,,,,,,,,,,,,,33,"1,010,104",s7-8,92
,,,,,,,,,,,,,,,,,,,,,,,,,32,"1,644,404",s9-12,93
,,,,,,,,,,,,,,,,,,,,,,,,,31,"2,457,276",s1-6,94
,,,,,,,,,,,,,,,,,,,,,,,,R7,30,"514,358",s7-8,95
