,Branch,,Length,Phase,,,Branch,,Length,Phase,
,,,,,,,,,,,
,R1,0,"928,855",s9-12,1,,,,,,
,,1,"2,443,951",s1-6,2,,,,,,
,,2,"1,949,903",s9-12,3,,,,,,
,,3,"1,160,212",s7-8,4,,,,,,
,,4,"4,280,673",s1-6,5,,,,,,
,,5,"5,200,963",s9-12,6,,,,,,
,,6,"3,095,882",s7-8,7,,,,,,
,,7,"11,432,373",s1-6,8,,,,,,
,,8,"240,703",s7-8,9,,,,,,
,,9,"2,307,800",s9-12,10,,,,,,
,,10,"2,426,420",s7-8,11,,,,,,
,,11,"15,111,606",s1-6,12,,,,,,
,,12,"947,898",s7-8,13,,,,,,
,,14,"4,990,512",s9-12,14,,,,,,
,,13,"1,712,943",s1-6,15,,,,,,
,,15,"2,838,126",s9-12,16,,R2,18,"6,225,720",s9-12,34
,,17,"1,214,845",s1-6,17,,,19,"852,336",s7-8,35
,b1,16,"406,268",s7-8,18,,,21,"2,266,604",s1-6,36
,,,,,,,b1,20,"5,811,246",s7-8,37
,b1,35,"677,100",s7-8,19,,,,,,
,,36,"1,694,403",s1-6,20,,,,,,
,,34,"1,301,784",s9-12,21,,,,,,
,,33,"6,559,387",s1-6,22,,,,,,
,,32,"2,345,490",s7-8,23,,,,,,
,,31,"2,576,217",s9-12,24,,,,,,
,,30,"6,188,220",s1-6,25,,,,,,
,,29,"4,067,586",s7-8,26,,,,,,
,,28,"5,434,490",s1-6,27,,,,,,
,,27,"1,973,149",s7-8,28,,,,,,
,,26,"805,941",s9-12,29,,,,,,
,,24,"467,600",s7-8,30,,,,,,
,,25,"1,113,429",s9-12,31,,,,,,
,,23,"3,367,360",s7-8,32,,,,,,
,R3,22,"5,735,528",s9-12,33,,,,,,
