Branch,,Length,Phase,,
R1,17,"1,747,028 ",s9-12,35 ,1
,18,"1,506,263 ",s1-6,30 ,2
,16,"2,164,509 ",s9-12,43 ,3
,15,"1,185,893 ",s7-8,24 ,4
,14,"477,535 ",s9-12,10 ,5
,13,"4,628,382 ",s7-8,93 ,6
,12,"5,157,070 ",s9-12,103 ,7
,11,"2,211,075 ",s7-8,44 ,8
,10,"3,350,075 ",s1-6,67 ,9
,9,"4,198,671 ",s7-8,84 ,10
,8,"6,705,032 ",s1-6,134 ,11
,7,"2,909,649 ",s9-12,58 ,12
,6,"2,255,973 ",s7-8,45 ,13
,5,"2,047,478 ",s9-12,41 ,14
,4,"6,239,702 ",s7-8,125 ,15
,3,"26,414,962 ",s1-6,528 ,16
,2,"1,210,092 ",s7-8,24 ,17
,1,"3,254,007 ",s9-12,65 ,18
R2,0,"2,903,486 ",s1-6,58 ,19
