Voxel_ID,Tubule_ID,Branch_ID,X,Y,Z,Stage
1,6,1,172,218,333,255
2,6,1,172,219,333,207
3,6,1,171,220,333,255
4,6,1,171,221,333,255
5,6,1,171,222,333,255
6,6,1,171,223,333,255
7,6,1,170,224,333,255
8,6,1,170,225,333,255
9,6,1,170,226,333,255
10,6,1,170,227,333,255
11,6,1,170,228,333,255
12,6,1,170,229,333,255
13,6,1,169,230,333,255
14,6,1,169,231,333,255
15,6,1,169,232,333,255
16,6,1,169,233,333,255
17,6,1,169,234,333,255
18,6,1,169,235,333,255
19,6,1,169,236,333,255
20,6,1,169,237,333,255
21,6,1,170,238,333,255
22,6,1,170,239,333,255
23,6,1,170,240,333,255
24,6,1,171,241,333,255
25,6,1,171,242,333,255
26,6,1,171,243,333,255
27,6,1,172,244,333,255
28,6,1,172,245,334,255
29,6,1,172,246,334,255
30,6,1,172,247,334,255
31,6,1,173,248,335,255
32,6,1,173,249,335,255
33,6,1,173,250,336,255
34,6,1,174,251,336,255
35,6,1,175,252,337,255
36,6,1,175,253,337,255
37,6,1,175,254,337,255
38,6,1,175,255,338,255
39,6,1,175,256,339,255
40,6,1,175,257,340,255
41,6,1,176,258,341,255
42,6,1,176,258,342,255
43,6,1,176,259,343,255
44,6,1,176,260,344,255
45,6,1,176,261,345,255
46,6,1,176,262,346,4
47,6,1,176,263,347,4
48,6,1,176,264,347,4
49,6,1,176,265,348,4
50,6,1,175,266,349,4
51,6,1,175,267,349,4
52,6,1,175,268,350,4
53,6,1,175,269,350,4
54,6,1,175,270,351,4
55,6,1,174,271,352,4
56,6,1,174,272,352,4
57,6,1,174,273,353,4
58,6,1,174,274,353,4
59,6,1,173,275,353,4
60,6,1,173,276,353,4
61,6,1,173,277,353,4
62,6,1,172,278,353,4
63,6,1,172,279,353,4
64,6,1,171,280,353,4
65,6,1,171,281,353,4
66,6,1,170,282,353,4
67,6,1,170,283,353,4
68,6,1,170,284,353,4
69,6,1,169,285,353,4
70,6,1,169,286,353,4
71,6,1,169,287,353,4
72,6,1,168,288,353,4
73,6,1,168,289,353,4
74,6,1,168,290,353,4
75,6,1,168,291,353,4
76,6,1,168,292,353,4
77,6,1,167,293,353,4
78,6,1,167,294,353,4
79,6,1,167,295,353,4
80,6,1,167,296,352,3
81,6,1,167,297,352,0
82,6,1,167,298,351,1
83,6,1,167,299,351,1
84,6,1,167,300,350,1
85,6,1,167,301,349,1
86,6,1,166,302,349,1
87,6,1,166,303,348,1
88,6,1,166,304,348,1
89,6,1,166,305,348,1
90,6,1,166,306,348,1
91,6,1,166,307,348,1
92,6,1,165,308,348,1
93,6,1,165,309,348,1
94,6,1,165,310,348,1
95,6,1,165,311,348,1
96,6,1,165,312,348,1
97,6,1,165,313,348,1
98,6,1,165,314,348,1
99,6,1,165,315,348,1
100,6,1,165,316,348,1
101,6,1,165,317,349,1
102,6,1,164,318,349,1
103,6,1,164,319,350,1
104,6,1,164,320,351,1
105,6,1,164,321,351,1
106,6,1,164,322,352,1
107,6,1,164,323,352,1
108,6,1,164,324,353,1
109,6,1,164,325,353,1
110,6,1,165,326,353,1
111,6,1,165,327,354,1
112,6,1,165,328,354,1
113,6,1,165,329,355,1
114,6,1,165,330,356,1
115,6,1,165,331,356,1
116,6,1,165,332,357,1
117,6,1,165,333,357,1
118,6,1,165,334,358,1
119,6,1,166,335,358,1
120,6,1,166,336,358,1
121,6,1,166,337,358,1
122,6,1,167,338,358,1
123,6,1,167,339,358,1
124,6,1,167,340,358,1
125,6,1,167,341,358,1
126,6,1,168,342,358,1
127,6,1,168,343,358,1
128,6,1,169,344,358,1
129,6,1,169,345,358,1
130,6,1,169,346,358,1
131,6,1,169,347,358,1
132,6,1,169,348,358,1
133,6,1,169,349,359,1
134,6,1,169,350,360,1
135,6,1,170,351,361,3
136,6,1,170,352,362,3
137,6,1,171,353,363,3
138,6,1,171,353,364,3
139,6,1,172,354,365,3
140,6,1,172,354,366,3
141,6,1,173,355,367,3
142,6,1,173,355,368,3
143,6,1,174,356,369,3
144,6,1,174,356,370,3
145,6,1,174,356,371,1
146,6,1,175,357,372,1
147,6,1,175,357,373,1
148,6,1,175,357,374,1
149,6,1,175,357,375,1
150,6,1,176,358,376,3
151,6,1,176,358,377,3
152,6,1,177,358,378,3
153,6,1,177,359,379,3
154,6,1,178,359,380,3
155,6,1,178,360,381,3
156,6,1,179,360,382,3
157,6,1,179,361,383,3
