Branch,,Length,Phase,
R1,0,"10,994,183 ",_9-12,1
,1,"361,869 ",_7-8,2
,2,"8,541,662 ",_1-6,3
,3,"5,744,816 ",_9-12,4
,4,"280,362 ",_7-8,5
,5,"1,428,662 ",_9-12,6
,6,"9,434,617 ",_7-8,7
,23,"9,775,991 ",_1-6,8
,24,"1,525,193 ",_7-8,9
,25,"6,389,733 ",_1-6,10
,7,"4,206,482 ",_7-8,11
,9,"2,306,999 ",_1-6,12
,8,"4,093,245 ",_7-8,13
,10,"6,139,364 ",_9-12,14
,11,"21,907,858 ",_1-6,15
,12,"4,557,290 ",_7-8,16
,13,"4,379,033 ",_9-12,17
,14,"10,321,411 ",_1-6,18
,15,"2,124,513 ",_7-8,19
,16,"8,232,179 ",_1-6,20
,17,"7,333,425 ",_7-8,21
,18,"3,333,905 ",_9-12,22
,20,"7,215,331 ",_1-6,23
,19,"730,144 ",_7-8,24
,22,"1,163,330 ",_9-12,25
R2,21,"4,629,489 ",_1-6,26
