Branch,,Length,Phase,,,Branch,,Length,Phase,
,,,,,,,,,,
,,,,,,,,,,
R1,1,"2,143,117",s1-6,1,,R2,2,"2,889,840",s1-6,37
b1,0,"2,624,040",s9-12,2,,,3,"4,705,620",s9-12,38
,,,,,,,4,"3,051,788",s7-8,39
b1,11,"1,998,046",s9-12,3,,,5,"3,283,351",s1-6,40
,12,"595,787",s7-8,4,,,6,"1,833,734",s7-8,41
,13,"2,911,586",s9-12,5,,,7,"1,342,774",s1-6,42
,14,"5,298,372",s7-8,6,,,8,"3,375,246",s7-8,43
,15,"7,172,474",s1-6,7,,,10,"11,169,725",s1-6,44
,16,"9,017,758",s9-12,8,,b1,9,"485,518",s9-12,45
,17,"4,522,469",s7-8,9,,,,,,
,18,"7,648,690",s1-6,10,,,,,,
,19,"4,401,229",s9-12,11,,,,,,
,20,"2,038,067",s7-8,12,,,,,,
,21,"16,057,031",s1-6,13,,,,,,
,22,"2,814,493",s9-12,14,,,,,,
,23,"1,096,034",s7-8,15,,,,,,
,24,"3,639,000",s1-6,16,,,,,,
,25,"1,970,166",s7-8,17,,,,,,
,26,"11,664,396",s1-6,18,,,,,,
,27,"3,522,787",s9-12,19,,,,,,
,28,"994,468",s7-8,20,,,,,,
,29,"278,618",s9-12,21,,,,,,
,30,"1,278,049",s7-8,22,,,,,,
,31,"7,445,808",s1-6,23,,,,,,
,32,"1,724,455",s7-8,24,,,,,,
,33,"3,963,033",s9-12,25,,,,,,
,34,"8,825,984",s1-6,26,,,,,,
,35,"1,579,005",s7-8,27,,,,,,
,36,"6,750,483",s1-6,28,,,,,,
,37,"4,669,742",s7-8,29,,,,,,
,38,"3,393,968",s9-12,30,,,,,,
,39,"5,071,774",s1-6,31,,,,,,
,40,"3,289,378",s7-8,32,,,,,,
,41,"2,909,109",s9-12,33,,,,,,
,42,"2,307,170",s1-6,34,,,,,,
,43,"235,894",s7-8,35,,,,,,
R3,44,"653,194",s9-12,36,,,,,,
