,Branch,,Length,Phase,,,Branch,,Length,Phase,,,Branch,,Length,Phase,,,Branch,,Length,Phase,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,R4,46,"3,681,737",s9-12,45,,,,,,
,R1,1,"2,368,304",s9-12,1,,,,,,,,,47,"2,746,973",s1-6,46,,,,,,
,,2,"4,279,330",s7-8,2,,,,,,,,,48,"2,889,372",s9-12,47,,,,,,
,,3,"1,481,277",s1-6,3,,,,,,,,,49,"3,790,665",s7-8,48,,,,,,
,,4,"2,106,896",s7-8,4,,,,,,,,,51,"595,812",s1-6,49,,,,,,
,,5,"6,700,711",s1-6,5,,,,,,,,b3,50,"557,841",s7-8,50,,,,,,
,,6,"1,247,173",s7-8,6,,,,,,,,,,,,,,,,,,
,,7,"821,568",s1-6,7,,b3,52,"4,861,745",s7-8,36,,b3,86,"2,145,949",s7-8,51,,,,,,
,,8,"1,756,775",s7-8,8,,,53,"4,683,243",s9-12,37,,,85,"6,691,180",s1-6,52,,,,,,
,,9,"6,213,462",s1-6,9,,,54,"8,206,215",s1-6,38,,,84,"9,879,190",s9-12,53,,,,,,
,,10,"2,641,049",s9-12,10,,,55,"4,286,310",s7-8,39,,,83,"897,904",s7-8,54,,,,,,
,,11,"1,935,117",s7-8,11,,,56,"3,499,433",s9-12,40,,,82,"836,004",s9-12,55,,,,,,
,,14,"7,004,038",s1-6,12,,,57,"9,588,501",s1-6,41,,,81,"3,549,431",s7-8,56,,,,,,
,,13,"1,186,914",s9-12,13,,,58,"6,189,735",s7-8,42,,,80,"9,422,851",s1-6,57,,,,,,
,b1,12,"548,563",s1-6,14,,,60,"5,134,220",s9-12,43,,,79,"614,416",s7-8,58,,,,,,
,,,,,,,b1,59,"2,721,655",s1-6,44,,,78,"7,678,538",s1-6,59,,,,,,
,b1,15,"2,927,420",s1-6,15,,,,,,,,,77,"3,123,339",s7-8,60,,,,,,
,,16,"3,023,751",s7-8,16,,,,,,,,,76,"2,710,806",s9-12,61,,,,,,
,,17,"1,434,196",s9-12,17,,,,,,,,,75,"4,277,312",s1-6,62,,,,,,
,,18,"1,539,489",s1-6,18,,,,,,,,,74,"786,214",s7-8,63,,,,,,
,,19,"580,182",s7-8,19,,,,,,,,,73,"3,134,679",s9-12,64,,,,,,
,,20,"2,728,065",s9-12,20,,,,,,,,,72,"2,189,159",s1-6,65,,,,,,
,,21,"11,311,088",s1-6,21,,,,,,,,,71,"1,067,561",s7-8,66,,,,,,
,,22,"3,497,931",s7-8,22,,,,,,,,,70,"5,819,273",s1-6,67,,,,,,
,,23,"3,083,085",s1-6,23,,,,,,,,,69,"1,768,374",s7-8,68,,,,,,
,,24,"1,873,378",s7-8,24,,,,,,,,,68,"4,292,569",s9-12,69,,,,,,
,,25,"9,865,097",s9-12,25,,,,,,,,,67,"1,760,139",s1-6,70,,,,,,
,,26,"11,096,103",s1-6,26,,,,,,,,,66,"561,409",s7-8,71,,,,,,
,,28,"6,278,108",s7-8,27,,,,,,,,,65,"460,360",s9-12,72,,,,,,
,b2,27,"319,131",s9-12,28,,,,,,,,,64,"923,404",s7-8,73,,,,,,
,,,,,,,,,,,,,b4,63,"1,800,630",s9-12,74,,b4,61,"707,018",s9-12,76
,b2,29,"196,335",s9-12,29,,b2,45,"847,088",s9-12,78,,,,,,,,R5,62,"1,017,595",s1-6,77
,,30,"2,841,689",s7-8,30,,,44,"4,262,384",s1-6,79,,b4,0,"451,372",s9-12,75,,,,,,
,,31,"3,174,507",s9-12,31,,,43,"1,534,870",s7-8,80,,R6,0,"0",s9-12,75,,,,,,
,,32,"5,595,195",s1-6,32,,,42,"1,834,496",s1-6,81,,,,,,,,,,,,
,,33,"1,566,811",s7-8,33,,,41,"1,400,237",s7-8,82,,,,,,,,,,,,
,,34,"1,699,419",s9-12,34,,,40,"338,393",Label0,83,,,,,,,,,,,,
,R3,35,"1,712,220",s1-6,35,,,39,"6,885,886",s1-6,84,,,,,,,,,,,,
,,,,,,,,38,"1,479,063",s7-8,85,,,,,,,,,,,,
,,,,,,,,37,"1,442,548",s9-12,86,,,,,,,,,,,,
,,,,,,,R2,36,"1,169,725",s1-6,87,,,,,,,,,,,,
